3Ps Cod
101								
OFF								
1983	2014							
1	1	0.3	0.3					
3	14
1	6.52	1.14	3.72	1.62	0.48	0.89	1.61	0.75	0.36	0.14	0.06	0.05
1	2.33	1.55	0.63	2.11	0.77	0.37	0.46	0.71	0.18	0.15	0.06	0.03
1	14.88	12.57	9.96	3.28	2.66	0.79	0.48	0.42	0.42	0.49	0.21	0.12
1	5.65	6.48	7.95	6.33	2.13	1.47	0.84	0.29	0.24	0.29	0.17	0.1
1	5.67	4.97	13.82	8.31	3.35	1.29	0.69	0.28	0.23	0.16	0.17	0.16
1	5.93	2.96	2.84	6.5	5.84	3.65	1.49	0.84	0.74	0.35	0.16	0.15
1	4.66	3.17	1.51	1.16	2.15	1.21	0.67	0.37	0.41	0.13	0.11	0.05
1	9.82	14.49	10.89	5.67	3.84	3.14	1.15	0.71	0.32	0.16	0.12	0.09
1	5.03	10	11.24	5.75	2.84	1.58	1.19	0.74	0.56	0.22	0.11	0.07
1	6.95	2.11	4.15	2.03	1.03	0.53	0.26	0.24	0.08	0.04	0.01	0.01
1	1.99	4.04	1.49	1.35	0.47	0.1	0.04	0.03	0.04	0.01	0	0.01
1	1.46	4.31	6.1	1.73	1.62	0.5	0.08	0.04	0.03	0.02	0.01	0.01
1	1.16	1.67	13.08	19.65	4.4	5.75	2.19	0.25	0.2	0.01	0.07	0.03
1	3.67	3.62	1.32	2.69	2.91	0.54	0.46	0.09	0.09	0.02	0	0
1	2.33	1.04	0.5	0.28	0.3	0.24	0.14	0.05	0.02	0	0	0
1	6.79	8.42	5.6	3.99	1.96	2.5	2.79	0.43	0.3	0.06	0.03	0
1	2.55	2.38	2.58	2.34	1.72	0.44	0.79	0.6	0.09	0.02	0.02	0
1	5.36	3.1	2.17	1.82	1.2	0.89	0.35	0.31	0.53	0.12	0	0.01
1	12.41	12.29	4.36	2.04	1.26	0.77	0.71	0.38	0.5	0.94	0.12	0.06
1	3.9	8.28	5.85	3.04	2.04	0.99	0.53	0.37	0.08	0.12	0.19	0.01
1	1.78	4.08	6.55	3.94	1.5	0.72	0.33	0.18	0.19	0.05	0.11	0.01
1	2.07	1.71	2.08	4.05	4.24	1.26	0.81	0.67	0.79	0.15	0.1	0.02
1	6.73	4.96	1.6	0.89	0.79	0.71	0.28	0.05	0.17	0.08	0.03	0.03
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	4.84	3.11	1.48	0.76	0.44	0.22	0.47	0.42	0.12	0.09	0.08	0.05
1	4.51	3.32	1.92	1.12	0.47	0.32	0.12	0.15	0.1	0.04	0.03	0.01
1	9.25	6.67	5.7	3.09	1.79	0.99	0.21	0.17	0.21	0.38	0.14	0.02
1	7.65	15.71	6.7	4.06	1.47	0.29	0.1	0.04	0.04	0.09	0.01	0
1	6.55	2.46	5.08	1.92	1.41	0.48	0.1	0.08	0	0.02	0.01	0.01
1	8.88	5.82	3.22	3.38	1.75	0.96	0.17	0.26	0.02	0.04	0	0.01
1	11.49	16.61	6.43	4.5	3.09	2.36	0.56	0.28	0.07	0.01	0	0.01
1	11.33	4.74	2.22	1.15	0.43	0.94	0.48	0.07	0	0.01	0	0.01

