3Ps Cod
102								
OFF								
1983	2016							
1	1	0.1	0.3					
1	14
1	6.42	10.01	6.52	1.14	3.72	1.62	0.48	0.89	1.61	0.75	0.36	0.14	0.06	0.56
1	0.3	5.4	2.33	1.55	0.63	2.11	0.77	0.37	0.46	0.71	0.18	0.15	0.06	0.39
1	0.38	7.74	14.88	12.57	9.96	3.28	2.66	0.79	0.48	0.42	0.42	0.49	0.21	1.12
1	0.2	6.62	5.65	6.48	7.95	6.33	2.13	1.47	0.84	0.29	0.24	0.29	0.17	0.7
1	1.09	8.48	5.67	4.97	13.82	8.31	3.35	1.29	0.69	0.28	0.23	0.16	0.17	0.56
1	0.42	9.13	5.93	2.96	2.84	6.5	5.84	3.65	1.49	0.84	0.74	0.35	0.16	1.25
1	0.49	6.5	4.66	3.17	1.51	1.16	2.15	1.21	0.67	0.37	0.41	0.13	0.11	0.65
1	0	1.48	9.82	14.49	10.89	5.67	3.84	3.14	1.15	0.71	0.32	0.16	0.12	0.6
1	1.3	27.69	5.03	10	11.24	5.75	2.84	1.58	1.19	0.74	0.56	0.22	0.11	0.89
1	0	1.8	6.95	2.11	4.15	2.03	1.03	0.53	0.26	0.24	0.08	0.04	0.01	0.13
1	0	0	1.83	4.03	0.71	2.96	0.68	0.33	0.13	0.09	0.11	0.03	0.04	0.18
1	0	1.63	1.46	4.31	6.1	1.73	1.62	0.5	0.08	0.04	0.03	0.02	0.01	0.06
1	0	0.31	1.16	1.67	13.08	19.65	4.4	5.75	2.19	0.25	0.2	0.01	0.07	0.28
1	0.9	1.08	3.67	3.62	1.32	2.69	2.91	0.54	0.46	0.09	0.09	0.02	0	0.11
1	0.22	1.53	2.33	1.04	0.5	0.28	0.3	0.24	0.14	0.05	0.02	0	0	0.02
1	0.52	0.97	6.79	8.42	5.6	3.99	1.96	2.5	2.79	0.43	0.3	0.06	0.03	0.39
1	1.24	2.54	2.55	2.38	2.58	2.34	1.72	0.44	0.79	0.6	0.09	0.02	0.02	0.13
