1983.3	6.42	10.01	6.52	1.14	3.72	1.62	0.48	0.89	1.61	0.75	0.36	0.14	0.06	0.05	0.04	0.04
1984.3	0.3	5.4	2.33	1.55	0.63	2.11	0.77	0.37	0.46	0.71	0.18	0.15	0.06	0.03	0	0.04
1985.2	0.38	7.74	14.88	12.57	9.96	3.28	2.66	0.79	0.48	0.42	0.42	0.49	0.21	0.12	0.03	0.03
1986.2	0.2	6.62	5.65	6.48	7.95	6.33	2.13	1.47	0.84	0.29	0.24	0.29	0.17	0.1	0.06	0.04
1987.2	1.09	8.48	5.67	4.97	13.82	8.31	3.35	1.29	0.69	0.28	0.23	0.16	0.17	0.16	0.06	0.04
1988.1	0.42	9.13	5.93	2.96	2.84	6.5	5.84	3.65	1.49	0.84	0.74	0.35	0.16	0.15	0.09	0.1
1989.1	0.49	6.5	4.66	3.17	1.51	1.16	2.15	1.21	0.67	0.37	0.41	0.13	0.11	0.05	0.09	0.06
1990.1	0	1.48	9.82	14.49	10.89	5.67	3.84	3.14	1.15	0.71	0.32	0.16	0.12	0.09	0.01	0.05
1991.1	1.3	27.69	5.03	10	11.24	5.75	2.84	1.58	1.19	0.74	0.56	0.22	0.11	0.07	0.04	0.03
1992.1	0	1.8	6.95	2.11	4.15	2.03	1.03	0.53	0.26	0.24	0.08	0.04	0.01	0.01	0.02	0.01
1993.1	0	0	1.83	4.03	0.71	2.96	0.68	0.33	0.13	0.09	0.11	0.03	0.04	0.01	0.01	0
1993.3	0	0	1.99	4.04	1.49	1.35	0.47	0.1	0.04	0.03	0.04	0.01	0	0.01	0.01	0
1994.3	0	1.63	1.46	4.31	6.1	1.73	1.62	0.5	0.08	0.04	0.03	0.02	0.01	0.01	0	0
1995.3	0	0.31	1.16	1.67	13.08	19.65	4.4	5.75	2.19	0.25	0.2	0.01	0.07	0.03	0	0
1996.3	0.9	1.08	3.67	3.62	1.32	2.69	2.91	0.54	0.46	0.09	0.09	0.02	0	0	0	0
1997.3	0.22	1.53	2.33	1.04	0.5	0.28	0.3	0.24	0.14	0.05	0.02	0	0	0	0	0
1998.3	0.52	0.97	6.79	8.42	5.6	3.99	1.96	2.5	2.79	0.43	0.3	0.06	0.03	0	0	0
1999.3	1.24	2.54	2.55	2.38	2.58	2.34	1.72	0.44	0.79	0.6	0.09	0.02	0.02	0	0	0
2000.3	1.25	3.33	5.36	3.1	2.17	1.82	1.2	0.89	0.35	0.31	0.53	0.12	0	0.01	0	0
2001.3	0.57	2.26	12.41	12.29	4.36	2.04	1.26	0.77	0.71	0.38	0.5	0.94	0.12	0.06	0.03	0.03
2002.3	0.58	1.1	3.9	8.28	5.85	3.04	2.04	0.99	0.53	0.37	0.08	0.12	0.19	0.01	0	0
2003.3	0.52	1.46	1.78	4.08	6.55	3.94	1.5	0.72	0.33	0.18	0.19	0.05	0.11	0.01	0.01	0
2004.3	0.2	1.9	2.07	1.71	2.08	4.05	4.24	1.26	0.81	0.67	0.79	0.15	0.1	0.02	0.07	0
2005.3	0.77	1.43	6.73	4.96	1.6	0.89	0.79	0.71	0.28	0.05	0.17	0.08	0.03	0.03	0.09	0.15
2006.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007.3	3.18	1.73	4.84	3.11	1.48	0.76	0.44	0.22	0.47	0.42	0.12	0.09	0.08	0.05	0.01	0.01
2008.3	0.47	4.39	4.51	3.32	1.92	1.12	0.47	0.32	0.12	0.15	0.1	0.04	0.03	0.01	0	0.01
2009.3	0.4	1.43	9.25	6.67	5.7	3.09	1.79	0.99	0.21	0.17	0.21	0.38	0.14	0.02	0	0.03
2010.3	0.6	2.13	7.65	15.71	6.7	4.06	1.47	0.29	0.1	0.04	0.04	0.09	0.01	0	0	0
2011.3	0.15	4.7	6.55	2.46	5.08	1.92	1.41	0.48	0.1	0.08	0	0.02	0.01	0.01	0	0
2012.3	5.32	2.94	8.88	5.82	3.22	3.38	1.75	0.96	0.17	0.26	0.02	0.04	0	0.01	0.02	0
2013.3	1.58	18.42	11.49	16.61	6.43	4.5	3.09	2.36	0.56	0.28	0.07	0.01	0	0.01	0	0
2014.3	0.85	3.33	11.33	4.74	2.22	1.15	0.43	0.94	0.48	0.07	0	0.01	0	0.01	0	0
2015.3	0.11	4.55	9.11	12.6	3.32	1.36	1.07	0.36	0.5	0.06	0.01	0	0	0	0	0
2016.3	0.98	2.4	6.1	5.27	5.45	2.31	0.81	0.25	0.14	0.16	0.01	0	0	0	0	0
2017.3	1.3	2.42	2.77	2.25	2.42	2.12	0.55	0.32	0.09	0.03	0.05	0	0	0	0	0
2018.3	0.89	4.53	4.55	2.77	1.9	2.46	2.58	0.26	0.22	0.2	0.15	0.01	0	0	0	0
