1959	0	1001	13940	7525	7265	4875	942	1252	1260	631	545	44	1	NA	NA
1960	0	567	5496	23704	6714	3476	3484	1020	827	406	407	283	27	NA	NA
1961	0	450	5586	10357	15960	3616	4680	1849	1376	446	265	560	58	NA	NA
1962	0	1245	6749	9003	4533	5715	1367	791	571	187	140	135	241	NA	NA
1963	0	961	4499	7091	5275	2527	3030	898	292	143	99	107	92	NA	NA
1964	0	1906	5785	5635	5179	2945	1881	1891	652	339	329	54	27	NA	NA
1965	0	2314	9636	5799	3609	3254	2055	1218	1033	327	68	122	36	NA	NA
1966	0	949	13662	13065	4621	5119	1586	1833	1039	517	389	32	22	NA	NA
1967	0	2871	10913	12900	6392	2349	1364	604	316	380	95	149	3	NA	NA
1968	0	1143	12602	13135	5853	3572	1308	549	425	222	111	5	107	NA	NA
1969	0	774	7098	11585	7178	4554	1757	792	717	61	120	67	110	NA	NA
1970	0	756	8114	12916	9763	6374	2456	730	214	178	77	121	14	NA	NA
1971	0	2884	6444	8574	7266	8218	3131	1275	541	85	125	62	57	NA	NA
1972	0	731	4944	4591	3552	4603	2636	833	463	205	117	48	45	NA	NA
1973	0	945	4707	11386	4010	4022	2201	2019	515	172	110	14	29	NA	NA
1974	0	1887	6042	9987	6365	2540	1857	1149	538	249	80	32	17	NA	NA
1975	0	1840	7329	5397	4541	5867	723	1196	105	174	52	6	2	NA	NA
1976	0	4110	12139	7923	2875	1305	495	140	53	17	21	4	3	NA	NA
1977	0	935	9156	8326	3209	920	395	265	117	57	43	31	11	NA	NA
1978	0	502	5146	6096	4006	1753	653	235	178	72	27	17	10	NA	NA
1979	0	135	3072	10321	5066	2353	721	233	84	53	24	13	10	NA	NA
1980	0	368	1625	5054	8156	3379	1254	327	114	56	45	21	25	NA	NA
1981	0	1022	2888	3136	4652	5855	1622	539	175	67	35	18	2	NA	NA
1982	0	130	5092	4430	2348	2861	2939	640	243	83	30	11	7	NA	NA
1983	0	760	2682	9174	4080	1752	1150	1041	244	91	37	18	8	NA	NA
1984	0	203	4521	4538	7018	2221	584	542	338	134	35	8	8	NA	NA
1985	0	152	2639	8031	5144	5242	1480	626	545	353	109	21	6	NA	NA
1986	0	306	5103	10253	11228	4283	2167	650	224	171	143	79	23	NA	NA
1987	0	585	2956	11023	9763	5453	1416	1107	341	149	78	135	50	NA	NA
1988	0	935	4951	4971	6471	5046	1793	630	284	123	75	53	31	NA	NA
1989	0	1071	8995	7842	2863	2549	1112	600	223	141	57	29	26	NA	NA
1990	0	2006	8622	8195	3329	1483	1237	692	350	142	104	47	22	NA	NA
1991	0	812	7981	10028	5907	2164	807	620	428	108	76	50	22	NA	NA
1992	0	1422	4159	8424	6538	2266	658	269	192	187	83	34	41	NA	NA
1993	0	278	3712	2035	3156	1334	401	89	38	52	13	14	5	NA	NA
1994	0	9	78	173	74	62	28	12	3	2	0	0	0	NA	NA
1995	0	3	7	56	119	57	37	7	2	0	0	0	0	NA	NA
1996	0	9	43	43	101	125	35	24	8	2	1	0	0	NA	NA
1997	0	66	427	1130	497	937	826	187	93	31	4	1	0	NA	NA
1998	0	91	373	793	1550	948	1314	1217	225	120	56	15	1	NA	NA
1999	0	49	628	1202	2156	2321	1020	960	873	189	110	21	8	NA	NA
2000	1	76	335	736	1352	1692	1484	610	530	624	92	37	16	NA	NA
2001	2	80	475	718	1099	1143	796	674	257	202	192	28	13	NA	NA
2002	1	155	607	1451	1280	900	722	419	355	96	70	71	14	3	0
2003	0	15	301	879	1810	1139	596	337	277	167	67	55	84	6	3
2004	4	62	113	654	1592	1713	649	266	180	104	47	17	24	29	3
2005	1	49	330	515	1007	1628	1087	499	143	95	41	26	12	16	13
2006	0	43	253	866	928	846	1055	632	237	80	36	19	7	4	7
2007	4	97	311	727	1072	761	501	526	401	160	44	34	21	7	7
2008	0	35	422	617	1105	976	634	350	295	193	91	27	12	10	7
2009	0	17	129	813	1000	902	460	205	99	114	86	56	12	9	3
2010	5	31	377	549	1240	726	385	181	76	22	57	30	8	5	1
2011	1	31	136	839	809	854	351	172	68	33	23	17	8	9	1
2012	0	8	66	183	675	621	396	146	63	23	31	6	11	3	1
2013	0	6	154	431	332	488	361	140	49	22	21	5	9	2	0
2014	0	6	52	769	806	364	580	215	139	29	36	6	2	0	0
2015	0	2	211	262	900	653	270	326	75	29	8	5	0	3	0
2016	0	1	64	975	558	753	356	110	139	37	24	9	2	0	0

